index,name,experience,interest-1,interest-2,interest-3,linkedIn,github,proficiency-1,proficiency-2
1,John,20,competitive programming,data structures,data science,297,42,javascript,c
2,William,8,backend development,internet of things,software design,72,18,octave,python
3,James,13,competitive programming,blockchain,game development,102,7,python,MEAN
4,Charles,20,hardware design,competitive programming,algorithms,390,32,matlab,verilog
5,George,16,full stack web development,internet of things,blockchain,726,24,go,javascript
6,Frank,13,software design,big data,blockchain,726,49,python,c
7,Joseph,4,computer vision,ios development,game development,958,29,MERN,flutter
8,Thomas,15,internet of things,machine learning,deep learning,617,18,java,java
9,Henry,7,blockchain,machine learning,data structures,276,9,verilog,swift
10,Robert,10,algorithms,blockchain,big data,27,1,swift,octave
11,Edward,8,full stack web development,backend development,internet of things,765,40,matlab,R
12,Harry,7,data structures,natural language processing,frontend development,441,27,python,go
13,Walter,11,competitive programming,hardware design,software design,379,22,javascript,matlab
14,Arthur,19,data structures,deep learning,algorithms,834,25,R,javascript
15,Fred,9,frontend development,data science,game development,436,46,R,swift
16,Albert,7,software design,data structures,frontend development,615,39,javascript,java
17,Samuel,15,game development,frontend development,algorithms,796,9,javascript,c++
18,David,5,ios development,android app development,data science,128,34,javascript,c
19,Louis,10,internet of things,backend development,blockchain,179,32,verilog,javascript
20,Joe,5,algorithms,game development,algorithms,444,7,go,MEAN
21,Charlie,17,deep learning,ios development,frontend development,24,16,javascript,c++
22,Clarence,2,data science,machine learning,backend development,752,34,arduino,javascript
23,Richard,15,data science,data science,deep learning,141,35,MERN,MEAN
24,Andrew,20,natural language processing,data structures,backend development,519,11,MERN,c++
25,Daniel,15,blockchain,blockchain,algorithms,878,25,python,python
26,Ernest,5,natural language processing,internet of things,data science,441,24,c,swift
27,Will,19,software design,deep learning,game development,116,33,c,javascript
28,Jesse,14,big data,big data,computer vision,282,46,c++,python
29,Oscar,12,software design,big data,big data,256,29,java,swift
30,Lewis,13,natural language processing,computer vision,algorithms,948,18,javascript,c
31,Peter,19,natural language processing,frontend development,computer vision,510,15,MERN,matlab
32,Benjamin,18,big data,competitive programming,big data,444,29,c++,R
33,Frederick,4,game development,blockchain,full stack web development,808,22,verilog,verilog
34,Willie,19,hardware design,internet of things,hardware design,219,7,java,flutter
35,Alfred,15,data science,hardware design,natural language processing,138,16,MEAN,c++
36,Sam,6,data structures,data science,competitive programming,507,48,c,python
37,Roy,4,big data,android app development,natural language processing,722,45,MERN,MEAN
38,Herbert,9,hardware design,hardware design,deep learning,241,50,c,MEAN
39,Jacob,13,frontend development,software design,machine learning,899,8,MERN,javascript
40,Tom,17,full stack web development,data science,algorithms,318,47,matlab,go
41,Elmer,18,data science,backend development,blockchain,889,23,flutter,octave
42,Carl,16,ios development,data structures,full stack web development,407,38,MEAN,matlab
43,Lee,10,natural language processing,software design,competitive programming,989,24,flutter,verilog
44,Howard,3,hardware design,algorithms,blockchain,474,41,swift,javascript
45,Martin,11,big data,hardware design,data science,855,19,R,c++
46,Michael,13,natural language processing,natural language processing,big data,724,31,c,octave
47,Bert,14,software design,frontend development,backend development,325,26,swift,MERN
48,Herman,16,internet of things,data structures,software design,756,48,python,python
49,Jim,11,android app development,ios development,natural language processing,460,10,javascript,javascript
50,Francis,8,hardware design,full stack web development,hardware design,65,46,matlab,java
51,Harvey,9,algorithms,computer vision,android app development,94,29,swift,python
52,Earl,5,competitive programming,software design,natural language processing,631,19,MERN,c++
53,Eugene,3,big data,competitive programming,data science,237,21,swift,go
54,Ralph,20,machine learning,ios development,computer vision,901,34,c,javascript
55,Ed,10,big data,deep learning,frontend development,657,47,go,swift
56,Claude,3,android app development,computer vision,full stack web development,444,31,java,octave
57,Edwin,14,android app development,ios development,backend development,786,11,flutter,octave
58,Ben,11,deep learning,machine learning,internet of things,222,31,javascript,MERN
59,Charley,12,game development,backend development,blockchain,979,24,MERN,R
60,Paul,20,backend development,algorithms,machine learning,673,8,MEAN,MEAN
61,Edgar,16,ios development,backend development,frontend development,922,13,c,verilog
62,Isaac,4,algorithms,natural language processing,algorithms,973,27,MEAN,arduino
63,Otto,15,backend development,android app development,game development,665,18,MERN,verilog
64,Luther,3,hardware design,android app development,data structures,342,10,MEAN,octave
65,Lawrence,10,full stack web development,machine learning,computer vision,473,48,MEAN,verilog
66,Ira,18,computer vision,frontend development,machine learning,305,49,R,MEAN
67,Patrick,6,natural language processing,hardware design,ios development,41,18,MERN,c++
68,Guy,3,data science,hardware design,ios development,416,11,verilog,arduino
69,Oliver,1,ios development,full stack web development,frontend development,370,27,go,swift
70,Theodore,8,full stack web development,blockchain,backend development,39,9,R,go
71,Hugh,19,frontend development,blockchain,data structures,901,50,verilog,matlab
72,Clyde,11,hardware design,data structures,computer vision,463,3,octave,c++
73,Alexander,6,hardware design,internet of things,machine learning,785,14,c,flutter
74,August,2,competitive programming,deep learning,frontend development,201,33,c++,go
75,Floyd,16,frontend development,natural language processing,machine learning,634,43,MERN,verilog
76,Homer,18,ios development,data science,ios development,329,24,go,R
77,Jack,3,competitive programming,big data,software design,543,6,arduino,swift
78,Leonard,5,data structures,backend development,algorithms,877,8,R,octave
79,Horace,17,data science,data science,data science,707,35,MERN,python
80,Marion,9,android app development,game development,data science,721,49,c++,c++
81,Philip,9,deep learning,data science,data science,252,28,swift,MEAN
82,Allen,17,blockchain,frontend development,ios development,526,23,python,matlab
83,Archie,4,hardware design,data science,natural language processing,721,21,verilog,flutter
84,Stephen,7,full stack web development,big data,full stack web development,729,44,java,c++
85,Chester,6,natural language processing,game development,data structures,354,17,c++,javascript
86,Willis,1,internet of things,backend development,android app development,427,41,MEAN,octave
87,Raymond,12,competitive programming,data structures,backend development,860,18,go,matlab
88,Rufus,5,frontend development,big data,backend development,759,22,arduino,go
89,Warren,5,frontend development,data science,data structures,535,13,c++,c
90,Jessie,3,big data,internet of things,ios development,82,15,matlab,MEAN
91,Milton,17,natural language processing,machine learning,android app development,936,2,python,R
92,Alex,3,game development,competitive programming,natural language processing,438,36,flutter,R
93,Leo,15,frontend development,android app development,data science,286,42,arduino,MEAN
94,Julius,13,full stack web development,backend development,computer vision,628,19,matlab,java
95,Ray,1,full stack web development,natural language processing,software design,921,4,c,R
96,Sidney,20,hardware design,software design,game development,905,35,matlab,arduino
97,Bernard,5,data science,machine learning,big data,492,22,go,javascript
98,Dan,6,game development,ios development,blockchain,762,13,MERN,matlab
99,Jerry,9,natural language processing,frontend development,frontend development,882,38,MERN,c
100,Calvin,17,game development,big data,backend development,610,30,arduino,R
101,Perry,9,natural language processing,data structures,big data,631,17,matlab,verilog
102,Dave,5,backend development,blockchain,natural language processing,270,33,java,python
103,Anthony,8,software design,data science,internet of things,314,27,go,flutter
104,Eddie,2,blockchain,data science,big data,523,10,MEAN,javascript
105,Amos,8,full stack web development,data structures,data structures,297,49,go,R
106,Dennis,10,natural language processing,data science,data structures,212,3,arduino,MERN
107,Clifford,3,game development,ios development,game development,369,38,javascript,javascript
108,Leroy,17,full stack web development,computer vision,data science,445,46,c,javascript
109,Wesley,10,natural language processing,computer vision,machine learning,261,21,matlab,java
110,Alonzo,14,game development,game development,algorithms,549,9,flutter,java
111,Garfield,9,deep learning,software design,deep learning,32,7,python,go
112,Franklin,10,blockchain,software design,data structures,987,16,MEAN,swift
113,Emil,7,internet of things,ios development,android app development,39,2,java,swift
114,Leon,19,internet of things,data science,software design,102,42,R,java
115,Nathan,16,natural language processing,software design,competitive programming,226,14,swift,arduino
116,Harold,14,machine learning,algorithms,deep learning,612,28,octave,java
117,Matthew,2,backend development,blockchain,deep learning,66,16,swift,R
118,Levi,13,backend development,full stack web development,natural language processing,436,11,swift,python
119,Moses,18,hardware design,blockchain,data structures,502,49,c++,python
120,Everett,12,computer vision,internet of things,big data,137,45,c++,swift
121,Lester,19,data structures,blockchain,internet of things,297,31,verilog,go
122,Winfield,20,competitive programming,android app development,natural language processing,783,35,java,java
123,Adam,8,big data,computer vision,machine learning,747,15,R,MERN
124,Lloyd,14,algorithms,data structures,data structures,540,9,verilog,MERN
125,Mack,13,algorithms,frontend development,android app development,145,43,java,flutter
126,Fredrick,8,software design,full stack web development,blockchain,559,30,go,flutter
127,Jay,4,data science,algorithms,hardware design,351,1,R,verilog
128,Jess,7,computer vision,algorithms,ios development,471,36,arduino,java
129,Melvin,15,competitive programming,game development,full stack web development,817,20,python,java
130,Noah,19,data structures,ios development,competitive programming,525,9,octave,javascript
131,Aaron,10,backend development,data science,computer vision,869,6,go,python
132,Alvin,11,android app development,frontend development,data structures,170,43,c,c
133,Norman,13,game development,data science,android app development,479,32,R,c
134,Gilbert,10,blockchain,algorithms,data science,690,1,javascript,MEAN
135,Elijah,17,big data,big data,frontend development,235,21,MEAN,MEAN
136,Victor,2,big data,deep learning,big data,525,9,octave,R
137,Gus,8,data science,natural language processing,competitive programming,713,33,c++,java
138,Nelson,17,game development,backend development,game development,699,26,verilog,go
139,Jasper,8,backend development,natural language processing,machine learning,812,41,java,java
140,Silas,10,algorithms,big data,computer vision,468,23,MEAN,go
141,Christopher,20,software design,frontend development,android app development,294,8,flutter,octave
142,Jake,7,machine learning,hardware design,natural language processing,820,38,go,MERN
143,Mike,13,full stack web development,frontend development,deep learning,196,25,javascript,verilog
144,Percy,15,algorithms,game development,machine learning,946,4,swift,go
145,Adolph,12,game development,computer vision,frontend development,308,22,swift,matlab
146,Maurice,20,competitive programming,data science,computer vision,436,13,go,verilog
147,Cornelius,9,frontend development,ios development,data structures,353,43,arduino,R
148,Felix,9,full stack web development,hardware design,big data,258,28,python,matlab
149,Reuben,6,computer vision,android app development,frontend development,244,4,verilog,swift
150,Wallace,2,internet of things,big data,computer vision,150,36,MEAN,go
151,Claud,5,algorithms,big data,full stack web development,569,22,octave,verilog
152,Roscoe,9,software design,data structures,hardware design,494,23,MEAN,swift
153,Sylvester,11,machine learning,hardware design,backend development,836,12,verilog,verilog
154,Earnest,4,backend development,android app development,game development,450,28,python,MERN
155,Hiram,14,frontend development,big data,internet of things,576,3,flutter,arduino
156,Otis,7,big data,algorithms,data science,536,29,python,octave
157,Simon,18,blockchain,backend development,machine learning,884,42,matlab,MERN
158,Willard,16,ios development,computer vision,software design,448,43,swift,java
159,Irvin,9,backend development,algorithms,software design,769,21,arduino,MEAN
160,Mark,8,hardware design,software design,hardware design,864,43,swift,javascript
